"","guichet1"
"1",1.86637113048675
"2",1.95773973866346
"3",0.540073212697925
"4",9.01328781937882
"5",0.803134618327022
"6",2.61655407949331
"7",3.54543767852669
"8",2.84797483617513
"9",0.862384845502675
"10",0.712802970833161
"11",1.56070143910788
"12",0.766486587934196
"13",3.67708434892778
"14",0.375125267542899
"15",1.377346329391
"16",0.977402800694108
"17",0.0826806155964732
"18",0.015792144590212
"19",1.96796660303118
"20",5.57069389866377
"21",3.49264135194902
"22",0.274798946455121
"23",3.86174745840912
"24",1.20470113027841
"25",6.05782170708212
"26",0.17807259503752
"27",1.98659638120773
"28",0.386642148718238
"29",1.12325047701597
"30",3.35150507075672
"31",0.113578383810818
"32",0.161228413179852
"33",1.66915399386528
"34",1.58176664766458
"35",0.91551535576582
"36",0.601920408196747
"37",2.24183627691013
"38",1.70175471797878
"39",1.89047513893786
"40",0.307891347946144
"41",1.13434900064021
"42",0.707020491291769
"43",0.172820966690779
"44",0.997547829523683
"45",1.24106363486499
"46",0.596437050960958
"47",1.5253586739511
"48",0.51506681382235
"49",1.19714740850031
"50",1.62474965973162
"51",2.0008297561759
"52",3.38692304102664
"53",1.35269510000944
"54",0.403506145001778
"55",0.245140668004751
"56",14.0498933411183
"57",0.3463283944875
"58",0.786719971336424
"59",0.266658691891115
"60",1.90528869555227
"61",1.42351163646479
"62",1.38399009779096
"63",4.56781431634851
"64",4.77960088451333
"65",0.11434525477985
"66",0.147739880718291
"67",2.60948208524826
"68",1.98800809782593
"69",2.38554306319895
"70",0.116893594046637
"71",1.51243344795305
"72",0.914920861980379
"73",0.976240648933575
"74",0.066830041719705
"75",3.28891567948521
"76",1.22492589987814
"77",0.206409234553576
"78",3.49415671808605
"79",6.8649457391716
"80",4.36496828098722
"81",1.12964290659875
"82",4.14857000468259
"83",0.599242920055985
"84",1.10346440505236
"85",1.21604081429541
"86",8.45361349681273
"87",2.47906637369635
"88",3.55761362595444
"89",1.18629202805459
"90",0.485650965040725
"91",0.519536417908967
"92",1.2805218687281
"93",2.1604257098007
"94",2.79372344149237
"95",2.12341475292089
"96",8.06992239835573
"97",11.6351463489964
"98",0.270361236296594
"99",0.367132037737105
"100",0.0714286705479026
"101",2.06599858394804
"102",1.67676768573448
"103",1.94574671975317
"104",0.973961976356804
"105",0.326606088317931
"106",3.73938886804466
"107",0.516038773986791
"108",0.0407217518565366
"109",3.52943971622076
"110",2.84510715164547
"111",1.91927397614719
"112",0.938186970160009
"113",6.48682737316857
"114",0.0825624028220773
"115",0.444247640669346
"116",2.73444356015863
"117",6.85842861201534
"118",0.664755156530792
"119",1.64200036778095
"120",0.372860553705395
"121",0.693273455835879
"122",2.73405773743036
"123",4.38382192303367
"124",0.584179356694221
"125",0.19614465534687
"126",1.04264137055725
"127",3.79009409331646
"128",1.15941804554313
"129",5.72136279906998
"130",5.8328515873937
"131",0.131090629845858
"132",1.59326952873709
"133",1.52236192665043
"134",1.2180351568386
"135",1.64412410548868
"136",0.446079581592456
"137",3.03705321718733
"138",2.60331794424894
"139",4.54198932249971
"140",3.26749930886512
"141",0.350385852950483
"142",1.36892569344491
"143",0.0912569686770439
"144",1.06100899353623
"145",0.824765916913748
"146",2.21749997167509
"147",1.2509419573471
"148",2.7776641769517
"149",1.49141090727391
"150",2.88804292057124
"151",3.97419985739474
"152",3.79770295677667
"153",1.05285428278148
"154",2.40414592056515
"155",0.839951714500785
"156",0.588738156482577
"157",0.337677398562319
"158",0.301989415400043
"159",1.49843390091302
"160",2.43129905491116
"161",1.38251905050129
"162",1.98473234466257
"163",2.18416974781088
"164",2.09553502119126
"165",0.253110718680789
"166",2.9084709175426
"167",1.71670791666679
"168",6.95769737246347
"169",2.75890230192783
"170",1.17028322070837
"171",0.27416302356869
"172",0.636253203265369
"173",3.85065973160749
"174",0.673334374092519
"175",7.71946788909745
"176",4.13148890791421
"177",2.74432692854645
"178",0.0180507805198431
"179",1.32521543651819
"180",0.301034098963902
"181",1.26527691073716
"182",0.33430902039755
"183",0.0998795479536057
"184",6.97795690181565
"185",5.44345062573381
"186",0.703722858801484
"187",1.76422844222813
"188",3.07064658386593
"189",1.14051473233849
"190",0.205104796215892
"191",0.00149640068411827
"192",1.15041284635663
"193",1.22768285125494
"194",2.61864841162207
"195",0.346830820044954
"196",1.36393603961915
"197",0.920300187543035
"198",1.15156484209001
"199",6.92465621199379
